No,f1,f2,a1,a2,X,Y,Z,K,M,N
227,-0.5,1,-90,-45,,,,,,
228,-0.5,1,-90,0,,,,,,
229,-0.5,1,-90,45,,,,,,
230,-0.5,1,-90,90,,,,,,
231,-0.5,1,-45,-90,,,,,,
232,-0.5,1,-45,-45,,,,,,
233,-0.5,1,-45,0,,,,,,
234,-0.5,1,-45,45,,,,,,
235,-0.5,1,-45,90,,,,,,
236,-0.5,1,0,-90,,,,,,
237,-0.5,1,0,-45,,,,,,
238,-0.5,1,0,0,,,,,,
239,-0.5,1,0,45,,,,,,
240,-0.5,1,0,90,,,,,,
241,-0.5,1,45,-90,,,,,,
242,-0.5,1,45,-45,,,,,,
243,-0.5,1,45,0,,,,,,
244,-0.5,1,45,45,,,,,,
245,-0.5,1,45,90,,,,,,
246,-0.5,1,90,-90,,,,,,
247,-0.5,1,90,-45,,,,,,
248,-0.5,1,90,0,,,,,,
249,-0.5,1,90,45,,,,,,
250,-0.5,1,90,90,,,,,,
251,0,-1,-90,-90,,,,,,
252,0,-1,-90,-45,,,,,,
253,0,-1,-90,0,,,,,,
254,0,-1,-90,45,,,,,,
255,0,-1,-90,90,,,,,,
256,0,-1,-45,-90,,,,,,
257,0,-1,-45,-45,,,,,,
258,0,-1,-45,0,,,,,,
259,0,-1,-45,45,,,,,,
260,0,-1,-45,90,,,,,,
261,0,-1,0,-90,,,,,,
262,0,-1,0,-45,,,,,,
263,0,-1,0,0,,,,,,
264,0,-1,0,45,,,,,,
265,0,-1,0,90,,,,,,
266,0,-1,45,-90,,,,,,
267,0,-1,45,-45,,,,,,
268,0,-1,45,0,,,,,,
269,0,-1,45,45,,,,,,
270,0,-1,45,90,,,,,,
271,0,-1,90,-90,,,,,,
272,0,-1,90,-45,,,,,,
273,0,-1,90,0,,,,,,
274,0,-1,90,45,,,,,,
275,0,-1,90,90,,,,,,
276,0,-0.5,-90,-90,,,,,,
277,0,-0.5,-90,-45,,,,,,
